controller,error_provider,route_shape,route_min_length_m,route_length_tolerance,noise_lateral_std,noise_heading_std_deg,time,x,y,speed,speed_error,e_y,e_psi,abs_e_y,abs_e_psi,steer,steer_delta,throttle,brake,target_speed,route_index,closest_route_index,route_error,road_option,target_x,target_y,target_yaw,lqr_q_ey,lqr_q_ey_dot,lqr_q_epsi,lqr_q_epsi_dot,lqr_r,lqr_kp_long,lqr_ki_long,lqr_kd_long,lqr_max_steer,lqr_max_steer_rate,lqr_derivative_alpha,lqr_curvature_alpha,lqr_feedforward_gain,mpc_horizon,mpc_q_y,mpc_q_psi,mpc_r_steer,mpc_r_steer_rate,mpc_kp_long,mpc_ki_long,mpc_kd_long,mpc_max_steer,mpc_max_steer_rate,pid_lat_kp,pid_lat_ki,pid_lat_kd,pid_long_kp,pid_long_ki,pid_long_kd,pid_max_throttle,pid_max_brake
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,614.8035785146058,40.38964080810547,41.94549560546875,0.4899999797344208,18.954444464710022,-5.0005476148316094e-08,-5.32632217886686e-07,5.0005476148316094e-08,5.32632217886686e-07,7.243018558256153e-07,7.243018558256153e-07,1.0,0.0,19.444444444444443,10,0,0.5853000283241272,RoadOption.STRAIGHT,40.52072525024414,51.94464111328125,1.557687315803145,3.0,1.0,5.0,2.5,9.0,0.6,0.01,0.06,0.6,0.14,0.2,0.35,1.4,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,614.8535785153508,40.38964080810547,41.94549560546875,0.9800000786781311,18.46444436576631,8.696556589860016e-07,-5.32632217886686e-07,8.696556589860016e-07,5.32632217886686e-07,5.584327027463587e-06,4.860025171637972e-06,1.0,0.0,19.444444444444443,10,5,5.029740333557129,RoadOption.STRAIGHT,40.52072525024414,51.94464111328125,1.557687315803145,3.0,1.0,5.0,2.5,9.0,0.6,0.01,0.06,0.6,0.14,0.2,0.35,1.4,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,614.9035785160959,40.38964080810547,41.94549560546875,1.470000147819519,17.974444296624924,8.696556589860016e-07,-5.32632217886686e-07,8.696556589860016e-07,5.32632217886686e-07,9.077002687263303e-06,3.4926756597997155e-06,1.0,0.0,19.444444444444443,10,5,5.023222923278809,RoadOption.STRAIGHT,40.52072525024414,51.94464111328125,1.557687315803145,3.0,1.0,5.0,2.5,9.0,0.6,0.01,0.06,0.6,0.14,0.2,0.35,1.4,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,614.9535785168409,40.38964080810547,41.94549560546875,1.9600002765655518,17.48444416787889,8.696556589860016e-07,-5.32632217886686e-07,8.696556589860016e-07,5.32632217886686e-07,1.1349600754329003e-05,2.272598067065701e-06,1.0,0.0,19.444444444444443,10,5,5.01552152633667,RoadOption.STRAIGHT,40.52072525024414,51.94464111328125,1.557687315803145,3.0,1.0,5.0,2.5,9.0,0.6,0.01,0.06,0.6,0.14,0.2,0.35,1.4,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,615.003578517586,40.38964080810547,41.94549560546875,2.450000286102295,16.994444158342148,8.696556589860016e-07,-5.32632217886686e-07,8.696556589860016e-07,5.32632217886686e-07,1.2828676517528947e-05,1.479075763199944e-06,1.0,0.0,19.444444444444443,10,5,5.0079240798950195,RoadOption.STRAIGHT,40.52072525024414,51.94464111328125,1.557687315803145,3.0,1.0,5.0,2.5,9.0,0.6,0.01,0.06,0.6,0.14,0.2,0.35,1.4,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,615.053578518331,40.38964080810547,41.94549560546875,2.93999981880188,16.504444625642563,8.696556589860016e-07,-5.32632217886686e-07,8.696556589860016e-07,5.32632217886686e-07,1.3791584933642298e-05,9.629084161133505e-07,1.0,0.0,19.444444444444443,10,5,5.0020880699157715,RoadOption.STRAIGHT,40.52072525024414,51.94464111328125,1.557687315803145,3.0,1.0,5.0,2.5,9.0,0.6,0.01,0.06,0.6,0.14,0.2,0.35,1.4,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,615.1035785190761,40.38964080810547,41.94549560546875,2.0671529770071913,17.377291467437253,8.696556589860016e-07,-5.32632217886686e-07,8.696556589860016e-07,5.32632217886686e-07,1.4452040886681061e-05,6.604559530387633e-07,1.0,0.0,19.444444444444443,10,5,5.000012397766113,RoadOption.STRAIGHT,40.52072525024414,51.94464111328125,1.557687315803145,3.0,1.0,5.0,2.5,9.0,0.6,0.01,0.06,0.6,0.14,0.2,0.35,1.4,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,615.1535785198212,40.38964080810547,41.94549560546875,0.7392770051968731,18.70516743924757,8.696556589860016e-07,-5.32632217886686e-07,8.696556589860016e-07,5.32632217886686e-07,1.4859276234346908e-05,4.0723534766584635e-07,1.0,0.0,19.444444444444443,10,5,5.000274181365967,RoadOption.STRAIGHT,40.52072525024414,51.94464111328125,1.557687315803145,3.0,1.0,5.0,2.5,9.0,0.6,0.01,0.06,0.6,0.14,0.2,0.35,1.4,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,615.2035785205662,40.38964080810547,41.94549560546875,0.11257962882521794,19.331864815619223,8.696556589860016e-07,-5.32632217886686e-07,8.696556589860016e-07,5.32632217886686e-07,1.5119484487513546e-05,2.602082531666383e-07,1.0,0.0,19.444444444444443,10,5,5.000467777252197,RoadOption.STRAIGHT,40.52072525024414,51.94464111328125,1.557687315803145,3.0,1.0,5.0,2.5,9.0,0.6,0.01,0.06,0.6,0.14,0.2,0.35,1.4,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,615.2535785213113,40.38970947265625,41.95103454589844,0.363980244460597,19.080464199983847,4.818956030619437e-06,-5.06000607103374e-06,4.818956030619437e-06,5.06000607103374e-06,1.920933573273942e-05,4.089851245225873e-06,1.0,0.0,19.444444444444443,11,5,4.99488639831543,RoadOption.STRAIGHT,40.533836364746094,52.94455337524414,1.557687315803145,3.0,1.0,5.0,2.5,9.0,0.6,0.01,0.06,0.6,0.14,0.2,0.35,1.4,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
